id,title,singer,group,cnt
1,정국아_같이먹짱,정국,BTS,0
2,문득생각해석진이가이걸먹어봤을까,진,BTS,0
3,머거스트디,슈가,BTS,0
4,지민이와_밥밥밥을먹어요,지민,BTS,0
5,페어리_지민_인간음식_맛보세요,지민,BTS,0
6,남준아여기째끼럽,RM,BTS,0
7,야호바너이거먹어봤냐,제이홉,BTS,0
8,뷔슐랭,뷔,BTS,0
9,제노의_맛그당어,제노,NCT,0
10,먹어봤도영,도영,NCT,0
11,마크한테만공개,마크,NCT,0
12,재혀니_맛있게머겅,재현,NCT,0
13,먹다가_해찬이_생각이나신거예요,해찬,NCT,0
14,재민아_밥먹어,재민,NCT,0
15,정우의_원데이씩스밀,정우,NCT,0
16,태용아_먹어보태용,태용,NCT,0
17,존맛툥구리,태용,NCT,0
18,JMTforTAEIL,태일,NCT,0
19,태일아_먹어봐,태일,NCT,0
20,먹태일_기릿,태일,NCT,0
21,정한아_마니머거여ㅎㅎ,정한,세븐틴,0
22,조슈아_먹어보슈아,조슈아,세븐틴,0
23,민규라고치고_디너쇼해도돼,민규,세븐틴,0
24,원우야_여기_테이스티,원우,세븐틴,0
25,순영아_이거_맛있어,순영,세븐틴,0
26,믿고먹어boo세요,승관,세븐틴,0
27,승철이_이거먹고_볼빵빵했꾸마,에스쿱스,세븐틴,0
28,우지를삼킬순없잖아,우지,세븐틴,0
29,디노야_여기_케이밥의_미래,디노,세븐틴,0
30,라즈지,버논,세븐틴,0
31,도겸아_여기야_피자대동여지도,도겸,세븐틴,0
32,도겸이도_도아할_맛집,도겸,세븐틴,0
33,밍하오야_여기_헌하오츠,디에잇,세븐틴,0
34,아니에요_준휘는_먹을거예요,준,세븐틴,0
35,더보이즈_배고플땐언제든찾아와요,더보이즈,더보이즈,0
36,이재현_치킨이다가아니야,현재,더보이즈,0
37,맛있겠짛_주연앟,주연,더보이즈,0
38,영훈아_빵빵하게_먹어,영훈,더보이즈,0
39,주학년_먹는데돈아끼지말자,주학년,더보이즈,0
40,김선우_맛있는걸내가놔둘리가,선우,더보이즈,0
41,블랙핑크_맛집사거리,블랙핑크,블랙핑크,0
42,채영아_눈물나는맛이야,로제,블랙핑크,0
43,제니야_여기젠나마싯다,제니,블랙핑크,0
44,지수야_여기츄라이츄라이,지수,블랙핑크,0
45,리사에게_가장맛난걸로줘,리사,블랙핑크,0
46,몬베베가_몬베베에게_추천하는_맛집,몬스타엑스,몬스타X,0
47,백현이를_위한_맛집투어,백현,EXO,0
48,승연아_우즈야_여기야,우즈,WOODZ,0
49,황제님을위한메뉴판,민현,민현,0
50,아이유애냐미냐미,아이유,IU,0
51,남도현_한입도안줄래,남도현,도현,0
52,우석아_맛집으로_우따따따,김우석,우석,0
